-= Fictional Documentary =-;
Zelig [1983];Fictional Documentary
The Rutles: All You Need Is Cash [1978];Fictional Documentary
The Rutles 2: Can't Buy Me Lunch [2002];Fictional Documentary
Behind the Mask: The Rise of Leslie Vernon [2006];Fictional Documentary
Best in Show [2000];Fictional Documentary
For Your Consideration [2006];Fictional Documentary
A Mighty Wind [2003];Fictional Documentary
Waiting for Guffman [1996];Fictional Documentary
Bob Roberts [1992];Fictional Documentary
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan [2006];Fictional Documentary
Brüno [2009];Fictional Documentary
Bruno [2009];Fictional Documentary
Confetti [2006];Fictional Documentary
Opération lune [2002];Fictional Documentary
Dark Side of the Moon [2002];Fictional Documentary
The Delicate Art of Parking [2003];Fictional Documentary
Fubar [2002];Fictional Documentary
Fubar II [2010];Fictional Documentary
Hard Core Logo [1996];Fictional Documentary
How to Irritate People [1968];Fictional Documentary
Incident at Loch Ness [2004];Fictional Documentary
C'est arrivé près de chez vous [1992];Fictional Documentary
Man Bites Dog [1992];Fictional Documentary
This Is Spinal Tap [1984];Fictional Documentary
The Blair Witch Project [1999];Fictional Documentary
Cloverfield [2008];Fictional Documentary
C.S.A.: The Confederate States of America [2004];Fictional Documentary
Death of a President [2006];Fictional Documentary
Vérités et Mensonges [1973];Fictional Documentary
F for Fake [1973];Fictional Documentary
I'm Still Here [2010];Fictional Documentary
Paranormal Activity [2007];Fictional Documentary
The Poughkeepsie Tapes [2007];Fictional Documentary
Punishment Park [1971];Fictional Documentary
Quarantine [2008];Fictional Documentary
[Rec] [2007];Fictional Documentary
Trollhunter AKA The Troll Hunter [2010];Fictional Documentary
Trolljegeren [2010];Fictional Documentary
Paranormal Activity 2 [2010];Fictional Documentary
The Virginity Hit [2010];Fictional Documentary
Yo Puta [2004];Fictional Documentary
The Life: What's Your Pleasure? [2004];Fictional Documentary
District 9 [2009];Fictional Documentary
Aquele Querido Mês de Agosto [2008];Fictional Documentary
Our Beloved Month of August [2008];Fictional Documentary
Moscou [2009];Fictional Documentary
Jogo de Cena [2007];Fictional Documentary
Playing [2007];Fictional Documentary